Unnamed: 0,Title,Poem,Poet,Tags
82,"
                    Scenes in the life of a lesser angel
                ","
I. I borrow wings from other angels, coastthe streets to find feathers loosely attachedto slender silver ties. With care, I close the catchand fasten cardboard stiffened form so closeI cannot breathe or fly for the airpushed out into a world in masquerade.I am African. I am goddess with flaresounding the trumpets. I call out God.Meaning changes like sea water in storm.I part the crowds until, beaten, my wingsfly, fall, litter the streets. I cradle the newborntwins and realize that I am fallen,a lesser angel, wingless and depressed.I am seductress unpetaled, undressed.II.dress her navel in lotus flowersto swim in the pool of her abdomentwine orange blossoms in her hairand smell the scent of oils and natural perfumekiss her nipples so that they become pyramidswet from a summer rain of tonguepress her down into soft linens with hardbody folding into hers like tributary waterswarm her hands against heated chestthat covers drum rhythms resoundingmen, worship your women this waywomen, flush at the adorationand you will know how I feelwhen he touches my hand
",Raina J. León,"Love,Desire,Romantic Love,Religion,The Spiritual"
83,"
                    Apologies
                ","
I.The time has come for the nation to turna new page by righting wrongs of the past.We apologise for laws and policies that inflictedprofound grief, suffering, and loss and for the removalof children from families, communities, and country.For the pain of these, their descendants, and for familiesleft behind, to mothers, fathers, brothers, sisters,for indignity inflicted on a proud people, we say sorry.We resolve that the injustices of the past must never,never happen again and look to a future based on mutualrespect, where all, whatever their origins, are equal partners.Spoken by Australian Prime Minister Kevin Rudd,introduced in January and delivered November 29, 2008,the day after he was sworn into office",Karenne Wood,"Social Commentaries,History & Politics,War & Conflict"
84,"
                    The Naming
                ","
Some nights we feel the furred darknessof an ancient one's breath and are trappedin awakening, dismemberedby events we no longer recall.We can touch the windowsill,where October air gathersas hours slip past in thin robes,the forest a concert of voices.The last crickets let go of their songs.The land speaks, its language arisingfrom its own geography—the mountains' hulked shapesare blue whales, rememberingwhen they were undersea ridges,and rivers are serpentine strands hammered from silver, and dark treestalk to the wind—weaving mortal lives,drumbeats, pillars of smoke,voices wavering into updraft,the storyteller shifting the present.
",Karenne Wood,"Relationships,Family & Ancestors,Nature,Landscapes & Pastorals"
85,"
                    One in Three or Four
                ","
There are too many of us for youto believe you are either alone or responsible. No woman asks for this. Some are children. Some areboys. Every one of us should havebeen heard. This is for Anna, age 17,who was then beaten and left to die;for Nathan, who at 11 admired the basketball coach; for Rosaline, whosees in her baby the face of a rapistand who finds that face difficult tolove; for sisters when soldiers came,mothers imprisoned among guards,for aunties grandmas daughters sons,for one who was tied and one who triedto scream, one whose husband watched,one violated time after time, one tornapart, who called the police whodid not call her back, who went tothe clinic where there were no kits,who numbed her shame with drugs,who could not drink enough to forget,who took her life, who believed shewas an object, who said nothing, whoknew no one was there and that no one would ever be there. Know this: thereare so many that if we could speak,our voices might spread like floodwatersover their boots and swell past securitystations; that if we cried out togetherwe might finally understand it as anassault on all people, all creation, andmaybe then there would be justice inthis war to claim yourself, a strugglemapped all over the flesh of every womanor child who has known what it is to be used, as you were, your sacred body.
",Karenne Wood,"Living,Sorrow & Grieving,Social Commentaries,Crime & Punishment,Gender & Sexuality"
86,"
                    Abracadabra, an Abecedarian
                ","
All this time I've been looking for words for certain difficult womenbecause they aren't able to speak for themselves, and now theClinton Foundation has come up with a brilliant campaign—theydecided, for International Women's Day, through digital magic to erase women on the cover of Condé Nast, posters, billboards, thosefigures replaced by empty space because women have not yet achievedgender equity, as noted on a website, not-there.org, and they're right. Wehaven't. But when I read about not-there.org and saw its flashy graphics,I wasn't thinking about how women are not-there-yet, metaphorically, I just thought about women who are really not there, women and girls whokeep disappearing (not from magazines, who don't make news in Manhattan)like they've evaporated, like illusions, hundreds in Juárez, twelve hundred missing and murdered Native women across Canada. The hands of men.Now you see her. Not. Not-there. Not here, either,or anywhere. Maybe only part of the problem is the predatory perpetrator-prestidigitator who more often than not knows her, knows how to keep herquiet, who may claim to love her, even, maybe getting even—or the serialrapist-killer in the bushes who bushwhacks her in the dark. You're always safe,says the forensic psychiatrist, unless a monster happens to show up, andthen you're not. Not-there. Maybe a lonely mandible, maxilla, fibula, or ulna shows up, or a bagged body gets dragged from the river. Or not. Is this thevalue we permit a woman's life to have (or not-have) throughout a wrongworld, a global idea of her as disposable parts? In the end, this is not a xenophobic poem, not specific—it's everywhere. Not-there. Right here.Yes, the sun rises anyway, but now the parents are staring past each other, thatzero between them like a chalked outline in their family photograph. Or not.
 
",Karenne Wood,"Living,Death,Social Commentaries,Crime & Punishment,Gender & Sexuality,Race & Ethnicity"
87,"
                    Guide to Avian Architecture
                ","
What we built to hold us, the year's memory,menus and daytrips, after a whilecame loose. Those nightswe balanced on each other's mistakes,cradling our wine:twigs those branches now.Who knew what lived there?She she she called one bird.What lived there knew its place.Another bird splits its nest wide,hinges the gap with spider silk, learningto give, to give, to give until breaking. Only then—either one gives until breaking or one does not.
",Megan Snyder-Camp,"Living,Life Choices,Love,Realistic & Complicated,Nature,Animals"
88,"
                    Ozette
                ","
After a while the 500-year-old village became a secret,carved into the wall of the forest where it met the Pacific,eleven long houses and their racks of drying fish, theirdogs. No roads to this town, only boats and the memory ofboaters. Blankets made from woodpecker feathers, cattailfluff, cedar bark and dog hair woven into a plaid pattern.At least that's what I remember of the museum's diorama.When the mud came down the mountain and covered the village, no one had lived there for years. It was a boaterwho remembered, after a while, that the village was gone,and also that it had once existed. Archaeologists broughtgarden hoses to wash the mud off and hooked the hoses upto the sea. Some of what had been preserved in the mudwas destroyed that day by the water pressure, and then latermost else was ruined by the wind and rain, but at least fora few weeks they could hold the bones in their hands. Thearchaeologists brought their dogs, they lived there a while.
",Megan Snyder-Camp,"Living,Death,Time & Brevity,Arts & Sciences,Sciences"
89,"
                    Dear Proofreader
                ","
You’re right. I meant “midst,” not “mist.”
I don’t know what I was stinking,
I mean thinking, soap speaks intimately
to my skin every day. Most days.
Depending if darkness has risen
to my skull like smoke up a chimney floe.
Flue. Then no stepping nude
into the shower, no mist turning
the bathroom mirror into frosted glass
where my face would float
coldly in the oval. Picture a caveman
encased in ice. Good. I like how
your mind works, how your eyes
inside your mind works, and your actual eyes
reading this, their icy precision, nothing
slips by them. Even now I can feel you
hovering silently above these lines,
hawkish, Godlike, each period
a lone figure kneeling in the snow.
That’s too solemn. I would like to send
search parties and rescue choppers
to every period ever printed.
I would like to apologize to my wife
for not showering on Monday and Tuesday.
I was stinking. I was simultaneously
numb and needled with anxiety,
in the midst of a depressive episode.
Although “mist” would work too,
metaphorically speaking, in the mist of,
in the fog of, this gray haze that followed me
relentlessly from room to room
until every red bell inside my head
was wrong. Rung.
",David Hernandez,"Living,The Mind,Arts & Sciences,Language & Linguistics"
90,"
                    The Ecology of Subsistence
                ","
No daylight for two months, an ice chisel sliversfrozen lake water refracting blue cinders.By light of an oil lamp, a child learns to savor marrow:cracked caribou bones a heap on the floor.A sinew, thickly wrapped in soot, threads throughthe meat on her chin: a tattoo in three slender lines.One white ptarmigan plume fastened to the lip ofa birch wood basket; thaw approaches: the plume turns brown.On the edge of the open lead, a toggle-head harpoonwaits to launch: bowhead sings to krill.Thickened pack ice cracking; a baleen fishing linepulls taut a silver dorsal fin of a round white fish.A slate-blade knife slices along the grain of a caribouhindquarter; the ice cellar lined in willow branches is empty.Saltwater suffuses into a flint quarry, offshorea thin layer of radiation glazes leathered walrus skin.Alongside shatters of a hummock, a marsh marigoldflattens under three black toes of a sandhill crane.A translucent sheep horn dipper skims a freshwater stream;underneath, arctic char lay eggs of mercury.Picked before the fall migration, cloudberriesdrench in whale oil, ferment in a sealskin poke.A tundra swan nests inside a rusted steel rum;she abandons her newborns hatched a deep crimson.
",Cathy Tagnak Rexford,"Activities,Eating & Drinking,Nature,Animals,Landscapes & Pastorals,Winter"
91,"
                    Baleen Scrimshaw as 16mm Film
                ","
Shoot in 16 mm film, capture her sitting underan olive-green archway.              Loop the sound of steel striking glass. When you blink, the camera captures the frame of her kin, walking upside down.              Loop the sound of tundra grass sprouting.Her hairline marks her shift        from caribou to woman. Standing in front of three white spotlights the silhouette of five black arrowheads departs from her lips.              Splice together her eyelashes and               frozen lids        exaggerate the strain               of her freckles coiled into song.Inukshuks tumble from the tips of her fingernails guiding the landing strip for twin otters; they watch their children travel to the moon,               or perhaps they erase our oiled webs.              Chart sixteen luminaries into the Beaufort Sea.                                            Wait.     Wait.        Wait.                             The shutter will remember                                            their white crested etchings.They resurface in the lyric of your documentary.
",Cathy Tagnak Rexford,"Living,The Body,Nature,Animals,Arts & Sciences,Photography & Film"
92,"
                    All-American
                ","
I’m this tiny, this statuesque, and everywherein between, and everywhere in betweenbony and overweight, my shadow cannot holdone shape in Omaha, in Tuscaloosa, in Aberdeen. My skin is mocha brown, two shades darkerthan taupe, your question is racist, nutmeg, beige,I’m not offended by your question at all.Penis or vagina? Yes and yes. Gay or straight?Both boxes. Bi, not bi, who cares, stop fixating on my sex life, Jesus never leveledhis eye to a bedroom’s keyhole. I go to churchin Tempe, in Waco, the one with the exquisite stained glass, the one with a white spirelike the tip of a Klansman’s hood. Churchescreep me out, I never step inside one,never utter hymns, Sundays I hide my flesh with camouflage and hunt. I don’t huntbut wish every deer wore a bulletproof vestand fired back. It’s cinnamon, my skin,it’s more sandstone than any color I know. I voted for Obama, McCain, Nader, I was tooapathetic to vote, too lazy to walk one block,two blocks to the voting booth For or against a women’s right to choose? Yes, for and against.For waterboarding, for strapping detainees with snorkels and diving masks. Against burningfossil fuels, let’s punish all those smokestacksfor eating the ozone, bring the wrecking balls, but build more smokestacks, we need jobshere in Harrisburg, here in Kalamazoo. Againstgun control, for cotton bullets, for constructing a better fence along the border, let’s raise concrete toward the sky, why does it needall that space to begin with? For creatingholes in the fence, adding ladders, they’re nothere to steal work from us, no one dreamsof crab walking for hours across a lettuce fieldso someone could order the Caesar salad. No one dreams of sliding a squeegee downthe cloud-mirrored windows of a high-rise, but some of us do it. Some of us sell flowers. Some of us cut hair. Some of us carefullysteer a mower around the cemetery grounds.Some of us paint houses. Some of us monitor the power grid. Some of us ring you up while some of us crisscross a parking lotto gather the shopping carts into one long,rolling, clamorous and glittering backbone. 
",David Hernandez,"Social Commentaries,History & Politics,Mythology & Folklore,Heroes & Patriotism"
93,"
                    We Would Never Sleep
                ","
We the people, we the one
times 320 million, I’m rounding up, there’s really
too many grass blades to count,
wheat plants to tally, just see
the whole field swaying from here to that shy
blue mountain. Swaying
as in rocking, but also the other
definition of the verb: we sway, we influence,
we impress. Unless we’re asleep,
the field’s asleep, more a postcard
than a real field, portrait of the people
unmoved. You know that shooting last week?
I will admit the number dead
was too low to startle me
if you admit you felt the same,
and the person standing by you
agrees, and the person beside that person.
It has to be double digits,
don’t you think? To really
shake up your afternoon? I’m troubled by
how untroubled I felt, my mind’s humdrum
regarding the total coffins, five
if you care to know, five still
even if you don’t. I’m angry
I’m getting used to it, the daily
gunned down, pop-pop on Wednesday,
Thursday’s spent casings
pinging on the sidewalk. It all sounds
so industrial, there’s nothing metal
that won’t make a noise, I’m thinking every gun
should come with a microphone,
each street with loudspeakers
to broadcast their banging.
We would never sleep, the field
always awake, acres of swaying
up to that shy blue mountain, no wonder
why it cowers on the horizon, I mean
look at us, look with the mountain’s eyes
we the people
putting holes in the people.
",David Hernandez,"Living,Death,Social Commentaries,Crime & Punishment,History & Politics"
94,"
                    When in 2009 the G20 Summit Convened in Pittsburgh
                ","
Look who’s whistling through bleached teeth now,
one hand on svelte hip, one fist pumping the air–
Pittsburgh–once that madcap & zany joke factory
 
now chosen for her fetching comeback tale
& her earth-sheltered welcome center
& her Warhol & her Tropical Forest Conservatory
 
& her Rosemont, working farm of the moguls
of ketchup. Rarely since the global credit crisis
do Pittsburghers cross bridges or rivers or the thresholds
 
of stunningly profitable ventures. Yet tonight,
as global output contracts at a pace not seen since
the 1930s, as the French president proposes reform
 
of the International Monetary Fund & the US
president delights in the local crepes with crispy edges,
& as Greenpeace commandos drape a WHAT THE FUCK?
 
banner from the deck of the West End Bridge
(above which Chinook & Black Hawk helicopter hover),
& as police use the LRAD sound cannon on protesters
for the first time in the United States or Canada–
 
a Pittsburgh Pirate homers into the Allegheny River
& sets the esplanade ablaze with the flash
& fizzle of fireworks launched at the flat lozenge
 
of the moon, a ghostly azure, suspended low
above the sweep of the cantilevered roofs
on the opposite shoreline–the poured concrete,
 
the glass towers, the obelisks–a costly parody
of bygone days when confidence in the future, evinced
by our sixty miles of integrated mills, was illustrated
 
by a time capsule, a chamber “hermetically” sealed
in Steel City alloys, bicentennially filled with newsprint
& artifacts of 1958 Pittsburgh to be cracked open
 
& savored in some distant epoch, an idea first
embraced by Esarhaddon, son of Sennacherib, king
of Assyria, Babylonia, & Egypt, & reenacted now
 
in waves of sound & light–the roar of fireworks night
for a losing franchise, the hoarse voices of Pittsburghers–
wafting into the void, accelerated by Jupiter’s pull,
 
& then hurled by Jupiter out of the solar system,
yet another urban missive from a noisy planet,
a comingling of mathematics and human music, charming
 
& powerful, a murmur preserved of our city-state
that once flourished–before its citizens dispersed
to other lands, to greater deeds on the blue Earth.
",Peter Oresick,"Social Commentaries,Cities & Urban Life,History & Politics,Money & Economics"
95,"
                    My Father
                ","
My father was four years in the war,
and afterward, according to my mother,
had nothing to say. She says he trembled
in his sleep the next four years.
My father was twice the father of sons
miscarried, and afterward said nothing.
My mother keeps this silence also.
Four times my father was on strike,
and according to my mother; had nothing
to say. She says the company didn’t understand,
nor can her son, the meaning
of an extra fifteen cents an hour in 1956
to a man tending a glass furnace in August.
 
I have always remembered him a tired man.
I have respected him like a guest
and expected nothing.
It is April now.
My life lies before me,
enticing as the woman at my side.
Now, in April, I want him to speak.
I want to stand against the worn body
of his pain. I want to try it on
like a coat that does not fit.
",Peter Oresick,"Living,Coming of Age,Relationships,Family & Ancestors"
96,"
                    At a Jewish Cemetery in Pittsburgh
                ","
Someone is looking for us.
I sensed it earlier at the creek
while floating on my back, and again
on Route 8 near Brookline.
So we’ve detoured to this hillside
eroding and crazy with markers.
We’re looking for row mm or nn
or something like that.
I lug the baby; my wife runs ahead.
This neighborhood knows her–
she passes so easily between stones.
She finds the grave, her father
dead ten years now. In the time it takes
to say kaddish the sun’s dropped.
I set down my son
and he crawls in the dimness,
pulling himself up on the headstone.
How delicately he fingers the marble.
Quickly he rounds its corner. Vanishes.
I’m thinking: grass, stone, quiet–
then babbling from another world.
",Peter Oresick,"Living,Death,Parenthood,Relationships,Family & Ancestors,Religion,Judaism,The Spiritual"
97,"
                    Marking Him
                ","
Does my little son miss the smell
of his first mother? I wonder
as the mewl of his mouth
opens toward a plastic bottle
that is not her breast.
 
Sudden new mother,
I bury my nose deep
into his skullcap of ringlets,
his starry cheesiness.
 
In her good-bye letter to him
sealed in his album
with a birth certificate, which now
list my name as Mother,
 
his first mother writes
she nursed him briefly
after he emerged into
the second room of his world.
 
I think of milk, volcanic
and insistent, answering
the newborn’s gigantic thirst,
a primal agreement between
generosity and greed.
 
Sometimes I press my nose
to the glass of that place
where a mother and my child
belong to each other;
I cannot imagine coming
between them.
 
But then I want to lick him all over
with a cow’s thick tongue,
to taste him and mark him as mine
so if the other mother returns,
she will refuse her handled calf
smeared with my smell.
 
",Margaret Hasse,"Living,Infancy,Parenthood,Love,Realistic & Complicated,Relationships,Family & Ancestors"
98,"
                    First Day of Kindergarten
                ","
The bus steps are high, but William clambers up gamely.
Doors shut. He peers out a print-marked window.
From the street corner, I wave, wistful as a soldier’s bride
as his bus pulls away and turns a corner.
 
At noon the yellow bus returns him
to the same place where I’m standing again.
He thinks I stood there all day, waiting in his absence.
When he finds out I left to play tennis,
 
his forehead crumples like paper in a wastebasket.
Now he knows I can move on my own without him.
Tears drawn from the well of desertion form in his eyes.
I’m his first love and his greatest disappointment.
",Margaret Hasse,"Living,Parenthood,Activities,School & Learning,Relationships,Family & Ancestors"
99,"
                    Radiance
                ","
The Roman candle of a yard light
caramelizes the old snow.
The glow trespasses the dark hold
of December, dimming the view
 
of the night sky with its winter
triangle a boy strains to see
through the haze, as he lets his jacket
hang open, unzipped to the cold.
 
He knows to return through
the black cleft between buildings,
below electric wires that seem
to carry a little train of snow
 
on their slim rails, where he throws
the switch that shuts off the bulb
on its pole, that opens the dome
to a blast of stars in outer space,
 
to the pinpoint of Jupiter,
to the constellation of Orion hunting
the Great Bear that the boy follows
to find a smudge of gray–he can gaze
 
through that peep hole to another
galaxy also spangled with radiance
from stars that traveled two
and a half million light years
 
before appearing as a signal
in the rod cells of his eyes
that pass impulses through
neurons and nerves
 
to his brain that creates images.
He draws in a sharp breath,
the high voltage power box
of his chest hot and humming.
 
",Margaret Hasse,"Living,Youth,Nature,Stars, Planets, Heavens,Winter"
100,"
                    Sex, Night
                ","
Once again, someone falls in their first falling–fall of two bodies, of two eyes, of four green eyes or eight green eyes if we count those born in the mirror (at midnight, in the purest fear, in the loss), you haven’t been able to recognize the voice of your dull silence, to see the earthly messages scrawled in the middle of one mad state, when the body is a glass and from ourselves and from the other we drink some kind of impossible water.
         Desire needlessly spills on me a cursed liqueur. For my thirsty thirst, what can the promise of eyes do? I speak of something not in this world. I speak of someone whose purpose is elsewhere.
         And I was naked in memory of the white night. Drunk and I made love all night, just like a sick dog.
         Sometimes we suffer too much reality in the space of a single night. We get undressed, we’re horrified. We’re aware the mirror sounds like a watch, the mirror from which your cry will pour out, your laceration.
         Night opens itself only once. It’s enough. You see. You’ve seen. Fear of being two in the mirror, and suddenly we’re four. We cry, we moan, my fear, my joy more horrible than my fear, my visceral words, my words are keys that lock me into a mirror, with you, but ever alone. And I am well aware what night is made of. We’ve fallen so completely into jaws that didn’t expect this sacrifice, this condemnation of my eyes which have seen. I speak of a discovery: felt the I in sex, sex in the I. I speak of burying everyday fear to secure the fear of an instant. The purest loss. But who’ll say: you don’t cry anymore at night? Because madness is also a lie. Like night. Like death.
 
",Alejandra Pizarnik,"Living,The Body,The Mind,Love,Desire"
101,"
                    After the Deindustrialization of America, My Father Enters Television Repair
                ","
My hands hold, my father’s older the wires–
picture rolls once, then steadies… an English castle!
A voice-over drones about Edward I,
who, to subdue the Welsh, built castles.
Some sixty years, dozens of engineers, the masses
conscripted from the villages.
 
My father moves on to a Zenith
with a bad tuner. TVs interest him, not English
with their damp, historical programming.
 
                                                         *    *   *
 
Here there were Indians, mound builders.
Here, an English fort, a few farmers.
And here the industrialist settled his ass,
John Ford on the river dredging sand
for making glass. Plate glass.
(Why should America buy from Europe?)
Some half dozen years, German engineers, and hundreds of Slavic peasants.
 
Grandfather sat on his samovar
warming himself and making excuses,
but finally, he set off.
Got a room, became a shoveler.
Got a wife, a company house.
Ford City: a valley filling with properties.
 
No one got along–
Not Labor and Capital, not Germans and Slavs,
not husband and wives, for that matter.
 
                                                        *    *   *
 
Edward’s castles were ruins
by the fifteenth century. Not from Welsh armies,
but the rise of the middle class.
The towns around a castle thrived:
tailors, smithies, cobblers, coopers.
Drawing in the Welsh peasants.
And what with intermarriage and the rise of capitalism…
a castle grew obsolescent.
 
I turn off the set. My father hunts
cigarettes at the Kwik-Mart on the corner.
Overhead, my mother’s footsteps,
the tonk of bottles,
the scraping of plates.
 
                                                       *    *   *
 
During Eisenhower’s reign
my grandfather retired and mowed his lawn
until I took over. He primed the filter,
set the choke, then we took turns pulling
till the sputtering engine caught.
(“Somanabitch,” he spit)
And watched me as I mowed
back and forth for two dollars.
 
Once in the garage he showed me a scythe.
He mowed hay in the old country, and the women
would follow, raking it in windrows.
 
                                                        *    *   *
The factories today are mostly closed down,
or full of robots or far off in Asia.
Ford City lives through the mail:
compensation, a thin pension,
and, of course, Social Security.
 
I always drive along the factory, windows rolled down;
I want my kids in the back seat to see.
Seven or eight, probably pensioners, congregate
on the corner, each man dressed quite alike:
Sears jacket, cigarette, salt-and-pepper hair.
 
“Honk the horn,” my oldest begs.
He waves and waves zealously
until a man turns–a man
with my face, but full of sweetness now,
silence and clarity.
",Peter Oresick,"Activities,Jobs & Working,Relationships,Family & Ancestors,Social Commentaries,History & Politics,Money & Economics"
102,"
                    [All night I hear the noise of water sobbing.]
                ","
All night I hear the noise of water sobbing. All night I make night in me, I make the day that begins on my account, that sobs because day falls like water through night.
         All night I hear the voice of someone seeking me out. All night you abandon me slowly like the water that sobs slowly falling. All night I write luminous messages, messages of rain, all night someone checks for me and I check for someone.
         The noise of steps in the circle near this choleric light birthed from my insomnia. Steps of someone who no longer writhes, who no longer writes. All night someone holds back, then crosses the circle of bitter light.
         All night I drown in your eyes become my eyes. All night I prod myself on toward that squatter in the circle of my silence. All night I see something lurch toward my looking, something humid, contrived of silence launching the sound of someone sobbing.
         Absence blows grayly and night goes dense. Night, the shade of the eyelids of the dead, viscous night, exhaling some black oil that blows me forward and prompts me to search out an empty space without warmth, without cold. All night I flee from someone. I lead the chase, I lead the fugue. I sing a song of mourning. Black birds over black shrouds. My brain cries. Demented wind. I leave the tense and strained hand, I don’t want to know anything but this perpetual wailing, this clatter in the night, this delay, this infamy, this pursuit, this inexistence.
         All night I see that abandonment is me, that the sole sobbing voice is me. We can search with lanterns, cross the shadow’s lie. We can feel the heart thud in the thigh and water subside in the archaic site of the heart.
         All night I ask you why. All night you tell me no.
 
",Alejandra Pizarnik,"Living,Sorrow & Grieving,The Mind,Love,Break-ups & Vexed Love"
103,"
                    Post Office
                ","
The wall of identical boxes into which
our Aunt Sticky sorted the daily mail
was at the far end of her dining room,
and from the private side looked like
a fancy wallpaper upon which peonies
pushed through a white wooden trellis,
or sometimes like crates of chickens
stacked all the way to the ceiling.
I'd learned by then – I was a little boy –
that a thing can look like one thing
on one day and another on another,
depending on how you might be feeling.
There were times when we were there,
having our coffee and sweet rolls,
when some woman on the lobby side
would with a click unlock her box
and leaning down, peer inside to see
if she had mail, and see us at the table,
Mother and Father, my sister and I
and our postmistress aunt, and call out,
""Yoohoo, Sticky! I see you have company!""
and waggle her fingers, waving hello.
 
",Ted Kooser,
104,"
                    Covering the Mirrors
                ","
After a funeral, they were covered with black cloth,
some draped with shawls like a scalloped valance.
Leftover sewing scraps, wool, linen, synthetic,
anything to shroud the odd-shaped mirrors,
though sometimes a corner was exposed like a woman
whose ankle peeks forbidden from under a long skirt.
 
A mourner must shun vanity during shiva, focusing inward
but as a child I wondered if this were to avoid ghosts,
for don't the dead take their time leaving?
I'm of a generation where grandparents disappeared,
great aunts with European accents,
rarely an explanation provided to us children.
 
My mother died too young.
With a baby in arms I couldn't bear to fling
that dark cloth over the glass.
After all she had come back from the dead so often,
even the doctors could not explain it.
Each time I looked in a mirror my mother gazed back.
I could never tell if she were trying to tell me something
or to take the baby with her.
 
",Carol V. Davis,
105,"
                    Sleeping With the Chihuahua
                ","
In the evening she comes to me
like a child ready for bed.
She slips under covers, curls
into my curves or stretches against
my spine. Some have said they fear
I might crush her, but we're a tender
pair, each aware of the warmth
and the other.
 
I knew a woman once who kept
an orphaned antelope, let it
roam her kitchen, sleep in her bed,
musky scent and hooves.
 
This dog looks like a small deer,
poised and silent in the lawn,
but at night, she is a dark body, lean
and long against the lavender cotton
of my summer sleeping. We are bone
and bone, muscle and muscle,
and underneath each surface
a quiet and insistent pulse.
",Tami Haaland,
106,"
                    The decade the country became known throughout the world
                ","
The ground cracked
like the rough pit of a peach
and snapped in two.
The sun behind the mountains
turned into an olive-green glow.
 
To niña Gloria this was home.
She continued to sell her bowl of lemons,
rubbing a cold, thin silver Christ
pocketed in her apron. Others
like Lito and Marvin played
soldiers in the ruins of a school,
running around mounds of bricks,
          shooting chickens and pigs.
 
No one knows exactly how
a light film of ash appeared
on everyone’s eyelids
          early in the morning
or how trout and mackerel plunged from the sky,
twitched, leaped through the streets.
 
Some say the skin of trees
felt like old newspaper, dry and yellow.
Others believe the soapsuds
washed aside in rivers
began to rise in their milk.
 
One Monday morning, a rain fell
and the cemetery washed into the city.
Bones began to knock
              and knock at our doors.
Streets became muddy rivers
waiting for bodies to drop
              among piles of dead fish.
 
In a year, everyone stabbed flowers on a grave.
 
This explains why women thought
and moved like lizards under stones,
why men heard bees buzzing inside their skulls,
why dogs lost their sense of smell
sniffing piles of rubble to get back home.
 
In a few years, no one cared
about turtles banging their heads against rocks,
bulls with their sad, busted eyes,
parrots that kept diving into creeks,
the dark swelling of the open ground
              or at night a knife
              stained the kitchen cloth.
 
Instead, niña Gloria swept the ground,
the broom licking her feet at each stroke.
 
At the bus station, Marvin shined
military boots,
              twenty-five cents a pair,
reduced his words to a spit, a splutter
of broken sentences
             on shoe polish, leather.
 
In the evenings, he counted coins
he’d tossed in a jar, then walked home,
one step closer to the cracked bone
clenched in the yellow jaw of a dog.
",William Archila,"Social Commentaries,History & Politics,War & Conflict"
107,"
                    Self-Portrait with Crow
                ","
As I punch the time-clock, I know
men will be gunned down at dawn
in a distant continent, someone
will dart into a café with a bomb nestled
 
in the belly, by the roadside a woman
will moan over the body of a man,
shrunken, stretched on the earth, that God
will finger the forehead of a dying country,
 
all of it funneled through the news on TV.
But tonight, instead of tuning in, I’m going to kneel
beside the window, recognize myself
in the croak of the crow, high above the black tree
 
of winter, claws hooked and rough, wings swept
back and hunched, face masked with exhaust.
I’m going to try, even if I fail, to see myself whole,
complete in the cry, in the beak of the crow.
",William Archila,"Social Commentaries,History & Politics,War & Conflict"
108,"
                    The Art of Exile
                ","
On the Pan American Highway, somewhere
between the north and south continent,
you come across a chain of volcanoes,
 
a coast with a thick growth of palm trees,
crunching waves of the sea; an isthmus
Neruda called “slender earth like a whip.”
 
When the road bends, turns into a street,
the walls splattered with “Yanqui Go Home!!!”
you see a boy fifteen years old,
 
barefoot, sniffing glue in a small plastic bag.
An old woman in an apron will step out,
say, “This is the right street.”
 
In the public square, there will be no friend
from school to welcome you, no drive
to Sonsonate, city of coconuts,
 
no one to order cold Pilseners, oyster
cocktails, or convince the waitress
into dancing a cumbia or two with you.
 
Instead, at the local bar, you’ll raise
a bottle next to strangers, stub
your cigarette out on the floor.
 
You’ll watch a country ten years
after the civil war: an old man sitting
on the curb, head between knees,
 
open hand stretched out.
Everything will hurt, your hair,
your toenails, even your shoes.
 
You’ll curse dusty streets, demented
sun slowly burning the nape of your neck,
stray dogs following you to the park.
 
By nightfall, you drag yourself back to the bars,
looking for a lost country in a shot of Tíc Táck.
Against the wall, three men with their guitars.
 
When you lie on a hotel bed,
too tired to sleep, when you feel torn,
twisted like an old newspaper, blown
 
from city to city, you have reached the place.
You have begun to speak like a man
by the side of the road, barefoot.
",William Archila,"Living,Sorrow & Grieving,Activities,Travels & Journeys,Social Commentaries,History & Politics,War & Conflict"
109,"
                    Cows
                ","
After seven lean years
we are promised seven fat ones,
if the cows do not die first.
Some care must be taken
to prevent their demise
in the scrub
or the slaughterhouse.
There must be enough bones
to throw and to bury.
 
The skull of a cow,
I put it on.
There are many strewn in the field,
there has not been much rain.
I look through the eyes,
that is, my eyes replace the eyes
that death has taken.
I can see out or through.
It is not a bad fate
to be a cow,
to be, at once,
so awkward,
so full of grace,
so full of milk.
 
Everywhere the udders are full,
the teats are ready,
the mouth of the calf is soft and deep.
I would thrust my hand in it
for the wet joy of being so used.
 
My own breasts are marked
from the time the milk came in too fast;
 
I did not have time to grow
to the moment of giving.
It is fitting
that beauty
leaves such scars.
 
Milk has passed through my fingers,
has spurted through my fingers,
but not once
during these seven lean years.
",Deena Metzger,"Living,Parenthood,The Body,Time & Brevity,Nature,Animals,Religion,Faith & Doubt"
